Time,U07,U08,U09,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19
2007-02-06,0.009550562,0.005730659,,,,,,,,,,,
2007-02-07,0.002816901,0.00867052,,,,,,,,,,,
2007-02-08,-0.001125492,0.000578369,,,,,,,,,,,
2007-02-09,-0.013599778,-0.014253136,,,,,,,,,,,
2007-02-12,-0.006343078,-0.004257735,,,,,,,,,,,
2007-02-13,-0.017344173,-0.015921788,,,,,,,,,,,
2007-02-14,0.018774158,0.021689498,,,,,,,,,,,
2007-02-15,0.006111111,0.004011461,,,,,,,,,,,
2007-02-16,0,0.008962128,,,,,,,,,,,
2007-02-20,-0.012345679,-0.011714286,,,,,,,,,,,
2007-02-21,-0.017520216,-0.01657769,,,,,,,,,,,
2007-02-22,-0.001614639,-0.003639418,,,,,,,,,,,
2007-02-23,-0.001075269,-0.003070053,,,,,,,,,,,
2007-02-26,-0.022082019,0.000837989,,,,,,,,,,,
2007-02-27,0.013049268,0,,,,,,,,,,,
2007-02-28,-0.019582245,-0.016483516,,,,,,,,,,,
2007-03-01,0,0.00110011,,,,,,,,,,,
2007-03-02,0.018617021,0.01,,,,,,,,,,,
2007-03-05,-0.016993464,-0.01369863,,,,,,,,,,,
2007-03-06,0.010835095,0.008287293,,,,,,,,,,,
2007-03-07,-0.009424084,-0.009575923,,,,,,,,,,,
2007-03-08,0.013262599,0.005502063,,,,,,,,,,,
2007-03-09,0.006675567,0.004143646,,,,,,,,,,,
2007-03-12,0.005099302,0.004997224,,,,,,,,,,,
2007-03-13,-0.004009623,-0.007713499,,,,,,,,,,,
2007-03-14,-0.007692308,-0.006839945,,,,,,,,,,,
2007-03-15,-0.005277045,-0.003544166,,,,,,,,,,,
2007-03-16,-0.011991658,-0.016621984,,,,,,,,,,,
2007-03-19,-0.003636364,-0.005333333,,,,,,,,,,,
2007-03-20,0.000779828,0.002405774,,,,,,,,,,,
2007-03-21,0.014504219,0.011627907,,,,,,,,,,,
2007-03-22,0.013903743,0.00955501,,,,,,,,,,,
2007-03-23,-0.009271523,-0.004619565,,,,,,,,,,,
2007-03-26,0.001060727,0.001088139,,,,,,,,,,,
2007-03-27,0.035989011,0.026815642,,,,,,,,,,,
2007-03-28,0.013927577,0.008166714,,,,,,,,,,,
2007-03-29,-0.018052516,-0.013611111,,,,,,,,,,,
2007-03-30,-0.009750813,-0.005250069,,,,,,,,,,,
2007-04-02,0,-0.001655172,,,,,,,,,,,
2007-04-03,-0.014415376,-0.009562842,,,,,,,,,,,
2007-04-04,0.016553596,0.005494505,,,,,,,,,,,
2007-04-05,0.026462396,0.02247191,,,,,,,,,,,
2007-04-09,0.008426966,0.011363636,,,,,,,,,,,
2007-04-10,0.040935673,0.041420118,,,,,,,,,,,
2007-04-11,0.055555556,0.04871238,,,,,,,,,,,
2007-04-12,-0.005219527,-0.005246914,,,,,,,,,,,
2007-04-13,-0.007012195,0,,,,,,,,,,,
2007-04-16,0.009230769,0.00621118,,,,,,,,,,,
2007-04-17,0.026531901,0.017377567,,,,,,,,,,,
2007-04-18,0.055333333,0.067453626,,,,,,,,,,,
2007-04-19,-0.017359974,-0.017561299,,,,,,,,,,,
2007-04-20,-0.024600639,-0.024878837,,,,,,,,,,,
2007-04-23,0.00449294,0.000323206,,,,,,,,,,,
2007-04-24,0.008414239,0.00781759,,,,,,,,,,,
2007-04-25,0.018121911,0.011532125,,,,,,,,,,,
2007-04-26,-0.008169935,-0.001644737,,,,,,,,,,,
2007-04-27,-0.023300351,-0.016817594,,,,,,,,,,,
2007-04-30,-0.013228346,-0.013716108,,,,,,,,,,,
2007-05-01,-0.003452605,-0.007911392,,,,,,,,,,,
2007-05-02,-0.017879162,-0.015576324,,,,,,,,,,,
2007-05-03,0.016609213,0.011023622,,,,,,,,,,,
2007-05-04,-0.0028125,-0.001572327,,,,,,,,,,,
2007-05-07,-0.027059897,-0.024539877,,,,,,,,,,,
2007-05-08,-0.011124474,-0.012121212,,,,,,,,,,,
2007-05-09,0.010942249,0.015384615,,,,,,,,,,,
2007-05-10,-0.006642512,-0.010353228,,,,,,,,,,,
2007-05-11,-0.011048074,-0.010843373,,,,,,,,,,,
2007-05-14,0.002994909,0,,,,,,,,,,,
2007-05-15,0.015202189,0.01065449,,,,,,,,,,,
2007-05-16,-0.007543754,-0.006652555,,,,,,,,,,,
2007-05-17,0.004242424,0.001514234,,,,,,,,,,,
2007-05-18,0.006097561,0.00273307,,,,,,,,,,,
2007-05-21,0.009230769,0.008266993,,,,,,,,,,,
2007-05-22,0.038338658,0.036825397,,,,,,,,,,,
2007-05-23,0.005784062,0.009615385,,,,,,,,,,,
2007-05-24,-0.003203075,-0.004467135,,,,,,,,,,,
