Time,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19
2006-08-30,0.016666667,,,,,,,,,,,,
2006-08-31,0.019830028,,,,,,,,,,,,
2006-09-01,-0.01396648,,,,,,,,,,,,
2006-09-05,0.005617978,,,,,,,,,,,,
2006-09-06,-0.005030743,,,,,,,,,,,,
2006-09-07,-0.000558659,,,,,,,,,,,,
2006-09-08,0.005617978,,,,,,,,,,,,
2006-09-11,0.00140647,,,,,,,,,,,,
2006-09-12,0.009943182,,,,,,,,,,,,
2006-09-13,0.008595989,,,,,,,,,,,,
2006-09-14,-0.002287021,,,,,,,,,,,,
2006-09-15,0.027312775,,,,,,,,,,,,
2006-09-18,-0.010174419,,,,,,,,,,,,
2006-09-19,-0.017142857,,,,,,,,,,,,
2006-09-20,0.003152766,,,,,,,,,,,,
2006-09-21,0.023467292,,,,,,,,,,,,
2006-09-22,-0.00554259,,,,,,,,,,,,
2006-09-25,0.003512881,,,,,,,,,,,,
2006-09-26,-0.001169591,,,,,,,,,,,,
2006-09-27,-0.006968641,,,,,,,,,,,,
2006-09-28,-0.001449696,,,,,,,,,,,,
2006-09-29,-0.008908046,,,,,,,,,,,,
2006-10-02,0.003460208,,,,,,,,,,,,
2006-10-03,-0.001152074,,,,,,,,,,,,
2006-10-04,0.014611338,,,,,,,,,,,,
2006-10-05,0.030102348,,,,,,,,,,,,
2006-10-06,0.00697181,,,,,,,,,,,,
2006-10-09,0.006406345,,,,,,,,,,,,
2006-10-10,-0.011161388,,,,,,,,,,,,
2006-10-11,-0.029282577,,,,,,,,,,,,
2006-10-12,-0.028449502,,,,,,,,,,,,
2006-10-13,-0.027662517,,,,,,,,,,,,
2006-10-16,-0.042384106,,,,,,,,,,,,
2006-10-17,-0.012813808,,,,,,,,,,,,
2006-10-18,0.002884868,,,,,,,,,,,,
2006-10-19,-0.001047943,,,,,,,,,,,,
2006-10-20,-0.001830544,,,,,,,,,,,,
2006-10-23,-0.001044932,,,,,,,,,,,,
2006-10-24,-0.010085337,,,,,,,,,,,,
2006-10-25,-0.002064516,,,,,,,,,,,,
2006-10-26,-0.002317199,,,,,,,,,,,,
2006-10-27,-0.011704835,,,,,,,,,,,,
2006-10-30,0.00255102,,,,,,,,,,,,
2006-10-31,0.010309278,,,,,,,,,,,,
2006-11-01,-0.016476553,,,,,,,,,,,,
2006-11-02,0.010243278,,,,,,,,,,,,
2006-11-03,0.005148005,,,,,,,,,,,,
2006-11-06,-0.005121639,,,,,,,,,,,,
2006-11-07,-0.011392405,,,,,,,,,,,,
2006-11-08,0.016207872,,,,,,,,,,,,
2006-11-09,0.006212788,,,,,,,,,,,,
2006-11-10,0.002335236,,,,,,,,,,,,
2006-11-13,-0.007212777,,,,,,,,,,,,
2006-11-14,-0.004360092,,,,,,,,,,,,
2006-11-15,-0.025006252,,,,,,,,,,,,
2006-11-16,0.004773869,,,,,,,,,,,,
2006-11-17,0.003783102,,,,,,,,,,,,
2006-11-20,0.006345178,,,,,,,,,,,,
2006-11-21,0.005102041,,,,,,,,,,,,
2006-11-22,-0.008097166,,,,,,,,,,,,
2006-11-27,0.006366183,,,,,,,,,,,,
2006-11-28,-0.012820513,,,,,,,,,,,,
2006-11-29,-0.012413108,,,,,,,,,,,,
2006-11-30,0.005491762,,,,,,,,,,,,
2006-12-01,-0.00249004,,,,,,,,,,,,
2006-12-04,0.003749063,0.008995117,,,,,,,,,,,
2006-12-05,0.005276382,0.005686224,,,,,,,,,,,
2006-12-06,-0.011180124,0,,,,,,,,,,,
2006-12-07,-0.01008362,-0.002320784,,,,,,,,,,,
2006-12-08,0.025214322,0.013591218,,,,,,,,,,,
2006-12-11,0.01044586,0.006842105,,,,,,,,,,,
2006-12-12,-0.008838384,-0.009126467,,,,,,,,,,,
2006-12-13,0.007121058,0.010540184,,,,,,,,,,,
2006-12-14,-0.003042596,0.014705882,,,,,,,,,,,
2006-12-15,0.003817765,-0.005054536,,,,,,,,,,,
