"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 24, 2015","64.57","64.28","64.62","64.15","-","1.58%"
"Jun 23, 2015","63.56","64.04","64.06","63.25","-","-0.77%"
"Jun 22, 2015","64.06","63.57","64.13","63.14","-","0.50%"
"Jun 19, 2015","63.74","63.98","63.99","62.80","-","-0.84%"
"Jun 18, 2015","64.28","64.22","64.35","63.81","-","0.00%"
"Jun 17, 2015","64.28","64.67","64.69","63.53","-","-0.57%"
"Jun 16, 2015","64.64","63.27","64.96","62.74","-","1.82%"
"Jun 15, 2015","63.49","64.33","64.33","62.61","-","-1.40%"
"Jun 12, 2015","64.39","63.83","64.94","63.54","-","0.77%"
"Jun 11, 2015","63.90","64.95","64.96","63.50","-","-1.68%"
"Jun 10, 2015","64.99","64.77","65.15","64.52","-","0.30%"
"Jun 09, 2015","64.79","64.94","65.28","64.50","-","-0.17%"
"Jun 08, 2015","64.90","64.57","65.04","64.22","-","0.36%"
"Jun 05, 2015","64.67","65.07","65.19","63.94","-","-0.79%"
"Jun 04, 2015","65.18","65.25","65.95","64.96","-","-0.10%"
"Jun 03, 2015","65.25","63.74","65.39","63.45","-","2.36%"
"Jun 02, 2015","63.74","63.67","64.28","63.34","-","0.00%"
"Jun 01, 2015","63.74","64.35","65.14","63.70","-","-1.08%"
"May 29, 2015","64.44","64.76","66.57","64.29","-","-0.09%"
"May 28, 2015","64.50","63.04","64.50","63.04","-","2.07%"
"May 27, 2015","63.19","63.34","63.83","63.04","-","-0.29%"
"May 26, 2015","63.38","63.37","64.64","63.28","-","0.07%"
"May 22, 2015","63.33","63.72","64.07","63.29","-","-0.71%"
"May 21, 2015","63.78","64.18","64.92","63.63","-","-0.69%"
"May 20, 2015","64.23","64.26","64.75","63.72","-","-0.26%"
"May 19, 2015","64.40","64.89","65.22","64.06","-","-0.76%"
"May 18, 2015","64.89","66.85","66.92","64.88","-","-2.54%"
"May 15, 2015","66.58","66.60","66.87","66.13","-","0.15%"
"May 14, 2015","66.49","65.86","66.71","65.60","-","1.13%"
"May 13, 2015","65.74","65.18","65.80","64.86","-","0.84%"
"May 12, 2015","65.19","65.45","65.58","64.58","-","-0.43%"
"May 11, 2015","65.47","66.10","66.31","64.67","-","-0.99%"
"May 08, 2015","66.13","65.52","66.21","65.30","-","0.81%"
"May 07, 2015","65.60","66.07","66.07","64.97","-","-0.61%"
"May 06, 2015","66.00","66.33","66.67","65.59","-","-0.57%"
"May 05, 2015","66.38","66.60","66.93","66.13","-","-0.55%"
"May 04, 2015","66.75","66.53","66.76","65.83","-","0.54%"
"May 01, 2015","66.39","67.83","68.13","65.73","-","-1.88%"
"Apr 30, 2015","67.66","67.38","68.06","67.36","-","0.62%"
"Apr 29, 2015","67.24","66.49","67.29","66.06","-","1.65%"
"Apr 28, 2015","66.15","66.11","67.07","65.61","-","0.02%"
"Apr 27, 2015","66.14","66.55","67.50","65.92","-","-0.26%"
"Apr 24, 2015","66.31","65.63","66.59","65.23","-","1.37%"
"Apr 23, 2015","65.42","62.81","65.70","62.78","-","3.69%"
"Apr 22, 2015","63.09","63.03","63.43","62.36","-","0.09%"
"Apr 21, 2015","63.03","63.16","63.49","62.87","-","-0.46%"
"Apr 20, 2015","63.33","63.38","63.79","62.97","-","-0.07%"
"Apr 17, 2015","63.37","64.28","64.42","63.17","-","-1.32%"
"Apr 16, 2015","64.22","64.78","64.94","63.48","-","-0.86%"
"Apr 15, 2015","64.78","64.76","65.13","64.36","-","0.19%"
"Apr 14, 2015","64.65","65.11","65.40","64.44","-","-0.78%"
"Apr 13, 2015","65.16","65.08","65.69","64.59","-","0.20%"
"Apr 10, 2015","65.03","66.36","66.53","64.84","-","-2.07%"
"Apr 09, 2015","66.40","66.79","67.13","66.13","-","-0.61%"
"Apr 08, 2015","66.82","66.44","67.18","66.21","-","0.99%"
"Apr 07, 2015","66.16","65.37","66.65","65.18","-","1.43%"
"Apr 06, 2015","65.23","63.78","65.46","63.78","-","2.35%"
"Apr 02, 2015","63.74","62.63","63.88","62.63","-","1.75%"
"Apr 01, 2015","62.64","62.91","63.22","62.45","-","-0.78%"
"Mar 31, 2015","63.13","62.64","63.93","62.19","-","1.09%"
"Mar 30, 2015","62.46","63.47","64.15","62.38","-","-1.52%"
"Mar 27, 2015","63.42","62.91","63.91","62.83","-","0.67%"
"Mar 26, 2015","62.99","62.89","63.46","62.67","-","-0.10%"
"Mar 25, 2015","63.06","63.94","64.08","62.81","-","-1.28%"
"Mar 24, 2015","63.88","63.90","64.40","63.63","-","0.08%"
"Mar 23, 2015","63.83","62.39","64.55","62.39","-","2.06%"
"Mar 20, 2015","62.53","62.60","63.26","62.33","-","-0.01%"
"Mar 19, 2015","62.54","62.53","63.40","61.73","-","0.14%"
"Mar 18, 2015","62.45","60.26","62.65","59.84","-","3.70%"
"Mar 17, 2015","60.22","60.44","60.85","60.20","-","-0.45%"
"Mar 16, 2015","60.49","60.53","61.22","60.33","-","0.00%"
"Mar 13, 2015","60.49","61.22","61.55","60.43","-","-0.73%"
"Mar 12, 2015","60.94","60.41","61.57","60.28","-","0.86%"
"Mar 11, 2015","60.42","60.92","61.13","60.29","-","-0.75%"
"Mar 10, 2015","60.88","62.19","62.36","60.82","-","-2.02%"
"Mar 09, 2015","62.13","62.70","63.12","62.06","-","-1.06%"
"Mar 06, 2015","62.79","63.12","63.27","62.51","-","-0.56%"
"Mar 05, 2015","63.15","63.33","64.06","63.11","-","-0.36%"
"Mar 04, 2015","63.38","63.62","63.83","63.06","-","-0.28%"
"Mar 03, 2015","63.56","64.48","64.64","63.54","-","-1.80%"
"Mar 02, 2015","64.72","64.60","65.03","64.03","-","-0.22%"
"Feb 27, 2015","64.86","65.07","65.47","63.68","-","-0.57%"
"Feb 26, 2015","65.24","65.34","66.24","65.11","-","-0.15%"
"Feb 25, 2015","65.34","64.49","65.86","64.28","-","1.02%"
"Feb 24, 2015","64.68","64.19","65.13","64.18","-","0.61%"
"Feb 23, 2015","64.29","64.40","64.63","63.77","-","-0.60%"
"Feb 20, 2015","64.68","64.35","64.69","63.98","-","0.19%"
"Feb 19, 2015","64.56","64.57","65.32","64.22","-","-0.25%"
"Feb 18, 2015","64.72","63.81","64.72","63.55","-","1.68%"
"Feb 17, 2015","63.65","62.60","63.99","62.35","-","1.40%"
"Feb 13, 2015","62.77","62.51","62.93","62.44","-","0.35%"
"Feb 12, 2015","62.55","62.07","62.56","61.54","-","0.54%"
"Feb 11, 2015","62.22","62.32","62.57","61.72","-","-0.31%"
"Feb 10, 2015","62.41","62.46","63.44","62.16","-","0.07%"
"Feb 09, 2015","62.37","61.63","62.78","61.24","-","1.23%"
"Feb 06, 2015","61.61","61.80","61.98","60.92","-","-0.23%"
"Feb 05, 2015","61.76","61.03","61.92","60.56","-","1.02%"
"Feb 04, 2015","61.13","61.44","61.70","61.04","-","-0.45%"
"Feb 03, 2015","61.40","59.92","61.51","59.90","-","2.50%"
"Feb 02, 2015","59.91","59.28","60.08","59.05","-","0.93%"
"Jan 30, 2015","59.36","59.56","59.67","59.08","-","-0.36%"
"Jan 29, 2015","59.58","59.14","59.78","59.13","-","0.58%"
"Jan 28, 2015","59.23","58.41","59.48","58.14","-","1.01%"
"Jan 27, 2015","58.63","58.44","58.89","58.06","-","-0.04%"
"Jan 26, 2015","58.66","57.42","58.74","57.30","-","2.15%"
"Jan 23, 2015","57.42","57.83","58.65","57.07","-","-0.65%"
"Jan 22, 2015","57.80","58.03","58.40","57.59","-","-0.28%"
